"ELF Code","Country of formation","Country Code (ISO 3166-1)","Jurisdiction of formation","Country sub-division code (ISO 3166-2)","Entity Legal Form name Local name","Language","Language Code (ISO 639-1)","Entity Legal Form name Transliterated name (per ISO 01-140-10)","Abbreviations Local language","Abbreviations transliterated","Date created YYYY-MM-DD (ISO 8601)","ELF Status ACTV/INAC","Modification","Modification date YYYY-MM-DD (ISO 8601)","Reason"
"8888","","","","","","","","","","","2017-11-30","ACTV","","","to be used when a new ELF Code (for a legal form not yet on the list) is requested from GLEIF for a jurisdiction which is on the list"
"9999","","","","","","","","","","","2017-11-30","ACTV","","","to be used for LEIs from a jurisdiction which is not on the list yet"
"CDOV","Antigua and Barbuda","AG","","","International Business Corporation","English","en","International Business Corporation","","","2017-11-30","ACTV","","",""
"CRL9","Aruba","AW","","","Stichting","Dutch","nl","Stichting","","","2017-11-30","ACTV","","",""
"CYW2","Aruba","AW","","","Vennootschap onder firma","Dutch","nl","Vennootschap onder firma","VOF;vof;V.O.F.;v.o.f.","","2017-11-30","ACTV","","",""
"GAJN","Aruba","AW","","","Commanditaire vennootschap (1)","Dutch","nl","Commanditaire vennootschap (1)","","","2017-11-30","ACTV","","",""
"M27U","Aruba","AW","","","Besloten vennootschap","Dutch","nl","Besloten vennootschap","BV;bv;B.V.;b.v.","","2017-11-30","ACTV","","",""
"OLAI","Aruba","AW","","","Vereniging","Dutch","nl","Vereniging","","","2017-11-30","ACTV","","",""
"P65N","Aruba","AW","","","Naamloze vennootschap","Dutch","nl","Naamloze vennootschap","NV;nv;N.V.;n.v.","","2017-11-30","ACTV","","",""
"PCRJ","Aruba","AW","","","Cooperatieve vereniging","Dutch","nl","Cooperatieve vereniging","","","2017-11-30","ACTV","","",""
"PT6C","Aruba","AW","","","Eenmanszaak","Dutch","nl","Eenmanszaak","","","2017-11-30","ACTV","","",""
"REUP","Aruba","AW","","","Aruba vrijgestelde vennootschap","Dutch","nl","Aruba vrijgestelde vennootschap","AVV;avv;A.V.V.;a.v.v.","","2017-11-30","ACTV","","",""
"T5RL","Aruba","AW","","","Vennootschap buitenlands recht","Dutch","nl","Vennootschap buitenlands recht","","","2017-11-30","ACTV","","",""
"UV8T","Aruba","AW","","","Maatschap","Dutch","nl","Maatschap","","","2017-11-30","ACTV","","",""
"V905","Aruba","AW","","","Vennootschap met beperkte aansprakelijkheid","Dutch","nl","Vennootschap met beperkte aansprakelijkheid","VBA;vba;V.B.A.;v.b.a.","","2017-11-30","ACTV","","",""
"YCV2","Aruba","AW","","","Commanditaire vennootschap (1+)","Dutch","nl","Commanditaire vennootschap (1+)","","","2017-11-30","ACTV","","",""
"6W6X","Australia","AU","","","Co-operative","English","en","Co-operative","Co-operative Limited;Cooperative Limited;Co-op Limited;Coop Limited;Co-operative Ltd.;Cooperative Ltd.;Co-opLtd.;Coop Ltd.;Co-operative;Cooperative;Co-op;Coop","","2017-11-30","ACTV","","",""
"BC38","Australia","AU","","","Incorporated association","English","en","Incorporated association","Inc;inc;Inc.;inc.","","2017-11-30","ACTV","","",""
"J4JC","Australia","AU","","","Limited Partnership","English","en","Limited Partnership","A Limited Partnership;An Incorporated Limited Partnership;LP;LP.;Lp.;Lp;I.L.P;ILP","","2017-11-30","ACTV","","",""
"LZFR","Australia","AU","","","Public Company limited by guarantee","English","en","Public Company limited by guarantee","Ltd;Ltd.;Limited","","2017-11-30","ACTV","","",""
"PQHL","Australia","AU","","","No Liability Company","English","en","No Liability Company","No Liability;NL","","2017-11-30","ACTV","","",""
"Q82Q","Australia","AU","","","Unlimited Proprietary Company","English","en","Unlimited Proprietary Company","Proprietary;PTY;PTY.;Pty.;Pty Ltd","","2017-11-30","ACTV","","",""
"R4KK","Australia","AU","","","Public Company limited by shares","English","en","Public Company limited by shares","Ltd;Ltd.;Limited","","2017-11-30","ACTV","","",""
"TXVC","Australia","AU","","","Limited Proprietary Company","English","en","Limited Proprietary Company","Proprietary Limited;Proprietary Ltd;Pty Limited;PTY LTD;PTY. LTD.;Pty. Ltd.;Pty Ltd;Pty Ltd.","","2017-11-30","ACTV","","",""
"XHCV","Australia","AU","","","Indigenous Corporation","English","en","Indigenous Corporation","Indigenous corporation;RNTBC","","2017-11-30","ACTV","","",""
"1NOX","Austria","AT","","","Sonstiger Rechtsträger","German","de","Sonstiger Rechtsträger","","","2017-11-30","ACTV","","",""
